"customer_id","recency","frequency","monetary","r_score","f_score","m_score","rfm_score","customer_segment"
12985,5124,"2","1239.38",1,4,2,"142","At Risk"
17364,5124,"11","4481.18",1,1,1,"111","Lost Customers"
14051,5124,"23","15610.39",1,1,1,"111","Lost Customers"
16446,5124,"2","168472.50",1,3,1,"131","At Risk"
17389,5124,"34","31833.68",1,1,1,"111","Lost Customers"
14422,5124,"6","4263.64",1,1,1,"111","Lost Customers"
12518,5124,"5","1840.89",1,2,2,"122","Lost Customers"
12423,5124,"8","1634.31",1,1,2,"112","Lost Customers"
15910,5124,"8","1232.18",1,1,2,"112","Lost Customers"
18102,5124,"60","259657.30",1,1,1,"111","Lost Customers"
12433,5124,"7","13375.87",1,1,1,"111","Lost Customers"
12748,5124,"206","32317.32",1,1,1,"111","Lost Customers"
17490,5124,"7","2092.32",1,1,1,"111","Lost Customers"
14441,5124,"4","1712.89",1,2,2,"122","Lost Customers"
15344,5124,"3","563.94",1,3,3,"133","At Risk"
17001,5124,"11","3989.57",1,1,1,"111","Lost Customers"
16626,5124,"17","4413.10",1,1,1,"111","Lost Customers"
13426,5124,"10","3641.32",1,1,1,"111","Lost Customers"
12662,5124,"11","3543.78",1,1,1,"111","Lost Customers"
15694,5124,"13","6464.40",1,1,1,"111","Lost Customers"
17581,5124,"25","11045.04",1,1,1,"111","Lost Customers"
17428,5124,"28","17256.85",1,1,1,"111","Lost Customers"
15804,5124,"13","4206.39",1,1,1,"111","Lost Customers"
13777,5124,"33","25977.16",1,1,1,"111","Lost Customers"
12680,5124,"4","790.81",1,2,3,"123","Lost Customers"
16954,5124,"9","2085.08",1,1,1,"111","Lost Customers"
16705,5124,"20","14034.99",1,1,1,"111","Lost Customers"
15311,5124,"91","60767.90",1,1,1,"111","Lost Customers"
12526,5124,"3","1172.66",1,2,2,"122","Lost Customers"
16558,5124,"20","8338.49",1,1,1,"111","Lost Customers"
13069,5124,"24","4436.12",1,1,1,"111","Lost Customers"
17754,5124,"5","1772.26",1,2,2,"122","Lost Customers"
13113,5124,"24","12245.96",1,1,1,"111","Lost Customers"
12713,5124,"1","794.55",1,4,3,"143","At Risk"
14446,5124,"4","1034.78",1,2,2,"122","Lost Customers"
13798,5125,"57","37153.85",1,1,1,"111","Lost Customers"
17315,5125,"36","6252.18",1,1,1,"111","Lost Customers"
15214,5125,"8","1661.44",1,1,2,"112","Lost Customers"
17841,5125,"124","40967.72",1,1,1,"111","Lost Customers"
13404,5125,"2","252.49",1,3,4,"134","At Risk"
15520,5125,"1","343.50",1,4,4,"144","At Risk"
13536,5125,"7","3448.29",1,1,1,"111","Lost Customers"
16322,5125,"2","326.75",1,4,4,"144","At Risk"
18109,5125,"26","8052.97",1,1,1,"111","Lost Customers"
15484,5125,"4","3594.31",1,2,1,"121","Lost Customers"
16688,5125,"4","1260.86",1,2,2,"122","Lost Customers"
16358,5125,"4","2027.50",1,2,2,"122","Lost Customers"
18210,5125,"6","2621.38",1,1,1,"111","Lost Customers"
13860,5125,"5","1245.90",1,2,2,"122","Lost Customers"
13102,5125,"24","6424.09",1,1,1,"111","Lost Customers"
12358,5125,"2","928.06",1,4,2,"142","At Risk"
14056,5125,"23","8214.65",1,1,1,"111","Lost Customers"
13263,5125,"34","7428.85",1,1,1,"111","Lost Customers"
17522,5125,"5","1066.15",1,2,2,"122","Lost Customers"
17675,5125,"31","20374.28",1,1,1,"111","Lost Customers"
16401,5125,"12","4098.32",1,1,1,"111","Lost Customers"
14569,5125,"1","227.39",1,5,5,"155","At Risk"
13680,5125,"4","3722.42",1,2,1,"121","Lost Customers"
15453,5125,"7","1388.37",1,1,2,"112","Lost Customers"
13098,5125,"28","28882.44",1,1,1,"111","Lost Customers"
17436,5125,"2","216.30",1,3,5,"135","At Risk"
17949,5125,"44","58030.48",1,1,1,"111","Lost Customers"
15796,5125,"8","2710.56",1,1,1,"111","Lost Customers"
14698,5125,"5","1250.76",1,2,2,"122","Lost Customers"
15156,5125,"3","961.49",1,3,2,"132","At Risk"
15237,5125,"4","1412.32",1,2,2,"122","Lost Customers"
13599,5125,"21","5153.67",1,1,1,"111","Lost Customers"
16523,5125,"21","9418.47",1,1,1,"111","Lost Customers"
15399,5125,"3","815.77",1,3,3,"133","At Risk"
13436,5125,"1","196.89",1,5,5,"155","At Risk"
13394,5125,"8","2520.02",1,1,1,"111","Lost Customers"
17491,5125,"10","3558.87",1,1,1,"111","Lost Customers"
17644,5125,"11","2895.64",1,1,1,"111","Lost Customers"
12621,5125,"20","12411.67",1,1,1,"111","Lost Customers"
14291,5125,"11","3883.25",1,1,1,"111","Lost Customers"
17530,5125,"10","2380.41",1,1,1,"111","Lost Customers"
16161,5125,"19","5575.56",1,1,1,"111","Lost Customers"
17405,5125,"3","1031.41",1,3,2,"132","At Risk"
17668,5125,"2","347.75",1,3,4,"134","At Risk"
